step,wall,eval_1mU_at_best,eval_JT_end,eval_JT_min,eval_len,eval_return,eval_t_JT_min,eval_t_first_PE,frac_done,kl,line_search_success,mean_reward,min_JT,policy_objective,std,value_loss
147456,55.16203541499999,,,,,,,,0.3497314453125,0.008778539069443576,1.0,-80.57235717773438,0.24572430015387403,0.04542373029694541,0.424348442805464,62.023799896240234
155648,57.76046268899972,,,,,,,,0.324951171875,0.008634208298190775,1.0,-77.43084716796875,0.24089733272693659,0.04470842810916061,0.404070142563018,73.3394546508789
163840,60.83977376199982,,,,,,,,0.294921875,0.008743514396605954,1.0,-72.20252227783203,0.23875544287716455,0.044591721883114666,0.3849586671202444,77.26151275634766
172032,64.16679595099959,,,,,,,,0.268798828125,0.008818667594054823,1.0,-67.55233001708984,0.23708982589139505,0.04333649229693004,0.3676193149045915,86.89739990234375
180224,67.39816158899976,,,,,,,,0.237060546875,0.007376349292690897,1.0,-61.13194274902344,0.21286028830032278,0.04212712653183101,0.35251359496828594,124.61445617675781
188416,70.3406161289995,,,,,,,,0.2176513671875,0.007750758560060515,1.0,-57.07408905029297,0.2330645381813944,0.03632418415608704,0.3392700999186087,213.4044189453125
196608,73.017632047,0.0054933683903574115,0.28035790840516694,0.2534747595861372,333,166.73226449878752,0.15000000000000002,nan,0.1875,0.00818212343005683,1.0,-49.48352813720703,0.23777784398745705,0.037562821421291887,0.3280165749618732,325.14453125
204800,75.77550841999982,,,,,,,,0.1636962890625,0.007801648658030705,1.0,-42.679256439208984,0.23457361780183383,0.03751731021931087,0.31724945522504433,445.0868225097656
212992,78.68017182899985,,,,,,,,0.1407470703125,0.00799209862394807,1.0,-35.07967758178711,0.22720134909711687,0.03882191905903783,0.3056234460282291,488.816162109375
221184,81.3692382399995,,,,,,,,0.1075439453125,0.008888687476774317,1.0,-25.112018585205078,0.2293275607987998,0.03882521861563863,0.2948477503461482,455.0863342285156
229376,83.96633571299935,,,,,,,,0.0897216796875,0.008163125602215448,1.0,-19.343364715576172,0.19377267975566792,0.03704974736403606,0.2843063698881173,460.8099670410156
237568,86.58031268299965,,,,,,,,0.06787109375,0.007684473689882142,1.0,-13.32266616821289,0.21184020232512302,0.03397950939352169,0.2744020063052833,374.0090026855469
245760,89.32795258499937,,,,,,,,0.0562744140625,0.0071107783964348,1.0,-10.093918800354004,0.2121103468157458,0.033259707822296244,0.26637754924537793,348.80108642578125
253952,92.0829458749995,,,,,,,,0.046142578125,0.008155382172433279,1.0,-7.38285493850708,0.22228846759518095,0.036074102544286175,0.25778256124319454,304.5514831542969
262144,94.78145405399937,0.0017832404616716646,0.24802491539496496,0.24268586106989198,333,196.40719161679942,6.45,nan,0.03369140625,0.006624470290857314,1.0,-4.654132843017578,0.18989007656782741,0.031849403472456086,0.2505550249666466,279.28411865234375
270336,97.56064531799984,,,,,,,,0.02880859375,0.006941434014536665,1.0,-3.3525002002716064,0.18757274483657815,0.03266326239420174,0.24288710322501367,223.51890563964844
278528,100.27072092799972,,,,,,,,0.0247802734375,0.006543428110603764,1.0,-2.336064338684082,0.20124519436631494,0.03191317411462771,0.23557870346415233,185.2390594482422
286720,102.8922695429992,,,,,,,,0.0203857421875,0.0061352746092800765,1.0,-1.50213623046875,0.21455285919653466,0.030487284265237093,0.23046239811313177,146.2653045654297
