,amplist,tlist
289,1.5172901153564453,14.450000000000001
290,8.522391319274902,14.5
291,7.82041072845459,14.55
292,2.8622140884399414,14.600000000000001
293,10.545036315917969,14.65
294,10.700836181640625,14.700000000000001
295,2.7416696548461914,14.75
296,11.828455924987793,14.8
297,13.151692390441895,14.850000000000001
298,4.6068315505981445,14.9
299,11.157891273498535,14.950000000000001
300,8.27475357055664,15.0
301,8.090376853942871,15.05
302,11.924714088439941,15.100000000000001
303,9.604702949523926,15.15
304,2.844789981842041,15.200000000000001
305,8.643768310546875,15.25
306,7.617188453674316,15.3
307,0.3356170654296875,15.350000000000001
308,8.235177993774414,15.4
309,8.992717742919922,15.450000000000001
310,-0.2609567642211914,15.5
311,6.13600492477417,15.55
312,9.536087036132812,15.600000000000001
313,-0.02097320556640625,15.65
314,8.557730674743652,15.700000000000001
315,10.181212425231934,15.75
316,0.23044490814208984,15.8
317,9.413795471191406,15.850000000000001
318,11.207818984985352,15.9
319,4.376254081726074,15.950000000000001
320,10.819368362426758,16.0
321,9.377132415771484,16.05
322,5.946404457092285,16.1
323,11.301589012145996,16.150000000000002
324,11.498452186584473,16.2
325,10.3992338180542,16.25
326,13.296910285949707,16.3
327,9.984434127807617,16.35
328,9.256738662719727,16.400000000000002
329,14.057454109191895,16.45
330,7.846369743347168,16.5
331,5.284615516662598,16.55
332,10.83512020111084,16.6
333,7.555800437927246,16.650000000000002
334,5.634481430053711,16.7
335,9.268985748291016,16.75
336,8.259366035461426,16.8
337,7.32226037979126,16.85
338,10.479986190795898,16.900000000000002
339,10.746562957763672,16.95
340,11.28208065032959,17.0
341,14.91278076171875,17.05
342,9.439168930053711,17.1
343,11.857417106628418,17.150000000000002
344,13.431973457336426,17.2
345,10.32649040222168,17.25
346,14.376526832580566,17.3
347,14.433481216430664,17.35
348,11.897793769836426,17.400000000000002
349,11.731529235839844,17.45
350,14.117636680603027,17.5
351,7.299051284790039,17.55
352,7.748659610748291,17.6
353,11.546090126037598,17.650000000000002
354,7.102779388427734,17.7
355,3.655348062515259,17.75
356,7.879426956176758,17.8
357,7.272953987121582,17.85
358,4.070676803588867,17.900000000000002
359,6.1099162101745605,17.95
360,3.8443827629089355,18.0
361,7.510601043701172,18.05
362,10.741844177246094,18.1
363,5.655585765838623,18.150000000000002
364,12.087350845336914,18.2
365,12.70119571685791,18.25
366,10.993865966796875,18.3
367,14.188873291015625,18.35
368,16.085229873657227,18.400000000000002
369,9.1998872756958,18.45
370,7.138858795166016,18.5
371,9.956636428833008,18.55
372,5.757241249084473,18.6
373,8.185050964355469,18.650000000000002
374,10.016752243041992,18.7
375,6.117719650268555,18.75
376,9.148063659667969,18.8
377,11.189760208129883,18.85
378,7.606103897094727,18.900000000000002
379,10.145978927612305,18.95
380,14.413516998291016,19.0
381,10.879535675048828,19.05
382,12.623311996459961,19.1
383,14.711194038391113,19.150000000000002
384,11.239827156066895,19.200000000000003
385,10.083321571350098,19.25
386,15.165792465209961,19.3
387,7.443157196044922,19.35
388,7.928684711456299,19.400000000000002
389,10.662773132324219,19.450000000000003
390,5.507449150085449,19.5
391,11.018728256225586,19.55
392,12.298916816711426,19.6
393,8.151081085205078,19.650000000000002
394,11.08708381652832,19.700000000000003
395,14.937751770019531,19.75
396,10.196779251098633,19.8
397,10.92263412475586,19.85
398,12.539873123168945,19.900000000000002
399,10.403864860534668,19.950000000000003
400,12.540152549743652,20.0
401,13.404658317565918,20.05
402,10.618480682373047,20.1
403,10.151676177978516,20.150000000000002
404,11.051145553588867,20.200000000000003
405,3.6437478065490723,20.25
406,7.019669532775879,20.3
407,8.347322463989258,20.35
408,1.3949370384216309,20.400000000000002
409,7.8140130043029785,20.450000000000003
410,7.955230712890625,20.5
411,4.332413673400879,20.55
412,10.402673721313477,20.6
413,11.09459114074707,20.650000000000002
414,6.592822074890137,20.700000000000003
