tlist,guess,amplist
3.48,0.6084477463622953,8.873405052281985
3.49,0.6159051512885817,8.798600232802974
3.5,0.6216037380070317,8.657655379475894
3.51,0.6255272332683338,8.44780461281845
3.52,0.6276644328880621,8.16592340972871
3.53,0.6280092337420631,7.81026488012985
3.54,0.6265606511949287,7.382987069452368
3.55,0.6233228219117833,6.8932419469105355
3.56,0.6183049920453587,6.359932563251223
3.57,0.6115214908320876,5.812600448053604
3.58,0.6029916896726182,5.289031141673278
3.59,0.5927399468136011,4.829567768372989
3.6,0.5807955377887195,4.470036934288141
3.61,0.5671925718176006,4.235930534348531
3.62,0.551969894401343,4.139408605309522
3.63,0.5351709763928139,4.179012423782813
3.64,0.5168437898584961,4.341156062887005
3.65,0.4970406710863835,4.602655605828245
3.66,0.47581817113112546,4.933986719072866
3.67,0.45323689432320846,5.303023371610652
3.68,0.4293613252033478,5.678725326690481
3.69,0.4042596443763049,6.0340272754278175
3.7,0.3780035338099842,6.347351558804382
3.71,0.35066797213581036,6.602638989159119
3.72,0.32233102053494467,6.788239823224552
3.73,0.2930735998217785,6.895193005407157
3.74,0.262979259361272,6.915354162121747
3.75,0.23213393848003094,6.839665477385203
3.76,0.20062572105246101,6.656746141561071
3.77,0.1685445839628137,6.352015249753053
3.78,0.1359821401614325,5.907789111378362
3.79,0.10303137704894406,5.3052054234858605
3.8,0.06978639093547517,4.529166040113694
3.81,0.03634211833320136,3.576948648264355
3.82,0.0027940648495650075,2.4684782555250595
3.83,-0.030761967544655752,1.25186417225297
3.84,-0.06423015409359677,-0.0032616295602028228
3.85,-0.09751492089961973,-1.2242381019885558
3.86,-0.1305212178502527,-2.3545685451399487
3.87,-0.16315479004938072,-3.3626613768560083
3.88,-0.19532244697756995,-4.239194148194354
3.89,-0.22693232861288515,-4.989367421179082
3.9,-0.25789416775224894,-5.6255828893600475
3.91,-0.2881195477842501,-6.162555929934835
3.92,-0.31752215517728744,-6.614674563270617
3.93,-0.3460180259620204,-6.99482755993606
3.94,-0.37352578550425486,-7.314040132163257
3.95,-0.39996688088356225,-7.581499924358323
3.96,-0.4252658052140348,-7.804744309624469
3.97,-0.4493503132665867,-7.9898942564723185
3.98,-0.47215162777705477,-8.141882217410073
3.99,-0.4936046358509605,-8.264653160638273
4.0,-0.5136480749040663,-8.361333080774049
4.01,-0.5322247076077349,-8.434366094703794
4.02,-0.5492814853395109,-8.485623839283171
4.03,-0.5647696996721643,-8.516491551440058
4.04,-0.5786451214685968,-8.527935042703108
4.05,-0.5908681271854019,-8.520552327873217
4.06,-0.601403812024391,-8.494613195501143
4.07,-0.6102220896089722,-8.45008964125331
4.08,-0.6172977779007334,-8.38667988493478
4.09,-0.622610671110886,-8.3038286909111
4.1,-0.6261455974012105,-8.200746930880447
4.11,-0.6278924622097277,-8.076433778455367
4.12,-0.6278462770773781,-7.929705598590936
4.13,-0.6260071738933843,-7.7592364418661495
4.14,-0.6223804045186208,-7.563615945706837
4.15,-0.6169763257880613,-7.3414311229536064
4.16,-0.6098103699351403,-7.09137853528414
4.17,-0.6009030005224771,-6.812412032466834
4.18,-0.5902796540048139,-6.5039277330993785
4.19,-0.5779706670910494,-6.165981399122358
4.2,-0.5640111901127878,-5.799523472913581
4.21,-0.5484410866467977,-5.406624653896774
4.22,-0.5313048196780319,-4.990652741887261
4.23,-0.5126513246282758,-4.5563543378538665
4.24,-0.4925338696130263,-4.109798466783152
4.25,-0.4710099033256464,-3.658156940819784
4.26,-0.4481408909831929,-3.209326783426146
4.27,-0.4239921388024068,-2.77143512407901
4.28,-0.39863260750710144,-2.35229434683835
4.29,-0.3721347153994976,-1.9588844185873702
4.3,-0.34457413155787725,-1.5969272325565544
4.31,-0.3160295597511208,-1.2705904576706364
4.32,-0.2865825136871788,-0.9823270201746463
4.33,-0.2563170842373113,-0.7328314906712171
4.34,-0.22531969930080492,-0.5210818841873461
4.35,-0.1936788769959203,-0.34443462321701196
4.36,-0.16148497288189506,-0.19874787740278954
4.37,-0.1288299219338142,-0.07851931469976427
4.38,-0.09580697600720094,0.022965552359007373
4.39,-0.06251043754205048,0.11347110113051904
4.4,-0.02903539026673645,0.2016284924682536
4.41,0.004522572329168614,0.2967237651626746
4.42,0.03806761997779076,0.40844871754601547
4.43,0.07150395929201356,0.5466040933524338
4.44,0.104736107319198,0.720739584562989
4.45,0.1376691642084258,0.9397081258265672
4.46,0.1702090842125979,1.21110739501069
4.47,0.20226294425148816,1.5405883344238245
4.48,0.23373920926884872,1.9310412902881762
4.49,0.26454799362577447,2.3817354726035553
4.5,0.29460131778389637,2.8875831238442804
4.51,0.3238133595453915,3.4387920831555427
4.52,0.35210069913234504,4.021190695508151
4.53,0.379382557405609,4.61738551810798
4.54,0.40558102654289063,5.208640437802457
4.55,0.43062129251732484,5.7770604686440485
4.56,0.45443184874119635,6.307509351962528
4.57,0.476944700264736,6.788796549656257
4.58,0.49809555794685123,7.213969322396638
4.59,0.517824022043319,7.579854786464338
4.6,0.5360737546881686,7.886165741079921
4.61,0.5527926407756936,8.134486668059063
4.62,0.5679329367836898,8.327359453183966
4.63,0.5814514071129185,8.467573646176056
4.64,0.59330944755345,8.55768173564564
4.65,0.6034731955253204,8.599717326297956
4.66,0.6119136267786824,8.59508450764627
4.67,0.6186066382773141,8.544596568842802
4.68,0.6235331170287949,8.448660201710975
4.69,0.6266789946647878,8.307618693982786
4.7,0.6280352876155755,8.122275634854509
4.71,0.6275981227641174,7.8946081341948116
4.72,0.6253687485063704,7.6286324168720085
4.73,0.6213535311862886,7.331297560543913
4.74,0.6155639369156856,7.013169905503552
4.75,0.6080164988308696,6.688584863789644
4.76,0.5987327698795606,6.374968947636005
4.77,0.5877392612729107,6.091232297453536
4.78,0.5750673667783943,5.855456560856893
4.79,0.5607532730697529,5.682393435105874
4.8,0.5448378563900087,5.581376589379993
4.81,0.5273665658226503,5.555099431792733
4.82,0.5083892935043142,5.599439007255211
4.83,0.4879602321496084,5.704254855308293
4.84,0.4661377202949217,5.854920927870332
4.85,0.44298407570315745,6.034246789012675
4.86,0.4185654174051462,6.2244009306695185
4.87,0.3929514768859008,6.408482694376466
4.88,0.36621539895491756,6.571509524365858
4.89,0.33843353286917655,6.700756588895291
4.9,0.3096852143053089,6.785538977991453
4.91,0.2800525388035616,6.816612246546023
4.92,0.2496201273305098,6.785379888506728
4.93,0.21847488462999703,6.683067835272262
4.94,0.1867057510523935,6.4999987189077055
4.95,0.15440344857082747,6.225107769526584
4.96,0.1216602217097025,5.845909463002234
4.97,0.08856957412533029,5.349248029803196
4.98,0.05522600159089493,4.723287695189619
4.99,0.021724722148275994,3.961139696095745
